Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 7123,562.22628.peg.4272,unique,"Cardiolipin synthase, bacterial type ClsA_2",5
Cluster 7125,562.22776.peg.4587,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_18,10
Cluster 7129,562.23410.peg.5303,unique,IncF plasmid conjugative transfer protein TraG_25,17
Cluster 7131,562.23468.peg.4769,unique,Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)_11,10
Cluster 7140,562.7700.peg.3187,unique,Protein RhsD_271,17
Cluster 7142,562.12959.peg.1100,core,Probable transport protein HsrA_1,1963
Cluster 7143,562.12959.peg.2125,core,Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)_1,1970
Cluster 7144,562.12959.peg.4826,core,"Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF_1",1946
Cluster 7145,562.12960.peg.705,accessory,"Uncharacterized J domain-containing protein YbeS, predicted chaperone_1",569
Cluster 7146,562.12960.peg.3027,accessory,Hydroxyaromatic non-oxidative decarboxylase protein C (EC 4.1.1.-)_1,519
Cluster 7153,562.13502.peg.4055,accessory,3-hydroxyadipyl-CoA dehydrogenase_2,448
Cluster 7154,562.13502.peg.5145,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_3,9
Cluster 7155,562.17359.peg.5019,unique,S-methylmethionine permease_1,157
Cluster 7159,562.22453.peg.4355,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_13,8
Cluster 7160,562.22464.peg.5207,unique,IncF plasmid conjugative transfer protein TraD_5,5
Cluster 7161,562.22484.peg.3608,unique,Phosphomannomutase (EC 5.4.2.8)_2,76
Cluster 7162,562.22501.peg.4593,unique,Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)_6,6
Cluster 7163,562.22512.peg.2867,unique,Conjugative transfer protein TrbL_1,10
Cluster 7164,562.22554.peg.4625,unique,Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)_7,7
Cluster 7165,562.22700.peg.2691,unique,Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)_8,8
Cluster 7166,562.22731.peg.902,accessory,Uncharacterized MFS-type transporter YdjE_2,1789
Cluster 7170,562.22893.peg.4815,accessory,"PTS system, mannitol-specific IIC component / PTS system, mannitol-specific IIB component (EC 2.7.1.197)_8",1939
Cluster 7173,562.23431.peg.4378,unique,IncF plasmid conjugative transfer pilus assembly protein TraB_15,28
Cluster 7188,562.12959.peg.1175,accessory,Uncharacterized protein YahG_1,701
Cluster 7189,562.12959.peg.3079,core,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)_1",1959
Cluster 7190,562.12959.peg.2447,core,"PTS system, N-acetylmuramic acid-specific IIB component (EC 2.7.1.192) / PTS system, N-acetylmuramic acid-specific IIC component_1",1952
Cluster 7191,562.12960.peg.2999,accessory,6-phospho-beta-glucosidase (EC 3.2.1.86)_3,1162
Cluster 7195,562.16325.peg.2434,unique,Mobile element protein_60,24
Cluster 7196,562.16326.peg.322,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) => Colanic acid / Mannose-6-phosphate isomerase (EC 5.3.1.8) => Colanic acid_1,8
Cluster 7197,562.22429.peg.4316,unique,IncI1 plasmid conjugative transfer pilus-tip adhesin protein PilV_3,128
Cluster 7198,562.22434.peg.3895,unique,Phage tail sheath protein FI_1,59
Cluster 7199,562.22452.peg.4443,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_6,24
Cluster 7202,562.22501.peg.2402,unique,Type-1 restriction enzyme EcoKI specificity protein_5,29
Cluster 7203,562.22514.peg.1327,unique,"Type I restriction-modification system, specificity subunit S_41",36
Cluster 7204,562.22535.peg.3759,unique,6-phospho-beta-glucosidase (EC 3.2.1.86)_15,15
Cluster 7208,562.22707.peg.2292,unique,"Phage head, terminase DNA packaging protein A_21",14
Cluster 7214,562.22963.peg.4713,core,"PTS system, N,N'-diacetylchitobiose-specific IIC component_11",1943
Cluster 7218,562.23033.peg.3345,accessory,Uncharacterized protein YahG_12,1905
Cluster 7233,562.7578.peg.5199,unique,Protein RhsC_18,7
Cluster 7237,562.12959.peg.4984,core,Voltage-gated H(+)/2Cl(-) exchange transporter ClcA_1,1964
Cluster 7238,562.12959.peg.4002,core,"Cardiolipin synthase (EC 2.7.8.-) phosphatidylethanolamine-utilizing, bacterial type ClsC_1",1946
Cluster 7239,562.12959.peg.231,core,"PTS system, trehalose-specific IIB component (EC 2.7.1.201) / PTS system, trehalose-specific IIC component_1",1968
Cluster 7246,562.12961.peg.4317,accessory,Gamma-glutamyl-putrescine synthetase (EC 6.3.1.11)_1,760
Cluster 7250,562.22449.peg.3352,core,Deoxyribodipyrimidine photolyase (EC 4.1.99.3)_2,1964
Cluster 7253,562.22473.peg.2732,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_11,74
Cluster 7254,562.22485.peg.582,unique,"DNA helicase (EC 3.6.4.12), phage-associated_8",50
Cluster 7256,562.22677.peg.2889,unique,AidA-I adhesin-like protein_29,6
Cluster 7257,562.22697.peg.3885,accessory,"2,3-dihydroxypropane-1-sulfonate exporter_2",834
Cluster 7258,562.22769.peg.4384,unique,"Phage tail sheath Mup39, L_7",17
Cluster 7259,562.22902.peg.4515,unique,Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)_10,5
Cluster 7261,562.23006.peg.981,unique,Diguanylate cyclase (EC 2.7.7.65) => DgcT_6,6
Cluster 7264,562.23394.peg.2896,unique,Phage tail fiber protein GpH_143,11
Cluster 7265,562.23489.peg.4135,accessory,Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)_4,1198
Cluster 7278,562.12959.peg.2000,core,low-affinity L-arabinose transport system proton symport protein_1,1958
Cluster 7279,562.12959.peg.1418,core,Glutamate synthase [NADPH] small chain (EC 1.4.1.13)_1,1970
Cluster 7280,562.12959.peg.2038,accessory,T6SS PAAR-repeat protein / RhaS protein_1,452
Cluster 7281,562.12959.peg.3796,core,"Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM; DHA-specific IIA component / DHA-specific phosphocarrier protein HPr / DHA-specific EI component_1",1966
Cluster 7282,562.12959.peg.2955,core,DNA-cytosine methyltransferase (EC 2.1.1.37)_2,1955
Cluster 7283,562.12960.peg.1633,accessory,Uncharacterized GGDEF domain protein YneF_1,864
Cluster 7286,562.12961.peg.2539,core,Glutamyl-tRNA synthetase (EC 6.1.1.17)_1,1970
Cluster 7288,562.16324.peg.4296,accessory,"DNA stabilization, phage-associated_1",392
Cluster 7289,562.16324.peg.1714,core,Poly(A) polymerase (EC 2.7.7.19)_1,1970
Cluster 7290,562.16324.peg.3430,core,Hexuronate transporter_3,1965
Cluster 7292,562.17620.peg.4581,unique,"predicted ATP-dependent endonuclease, OLD family_1",8
Cluster 7293,562.17721.peg.1569,unique,Tn7-like transposition protein D_1,12
Cluster 7297,562.22501.peg.24,unique,Flp pilus assembly protein TadG_1,5
Cluster 7298,562.22511.peg.1939,unique,Biofilm PGA synthesis deacetylase PgaB (EC 3.-)_5,10
Cluster 7300,562.22549.peg.2058,unique,Phage DNA transfer protein_19,5
Cluster 7303,562.22743.peg.4075,accessory,IncF plasmid conjugative transfer pilus assembly protein TraH_6,1267
Cluster 7309,562.23231.peg.5022,unique,Transposase_281,14
Cluster 7316,562.23884.peg.4120,accessory,Putative glycoporin_15,1537
Cluster 7319,562.42770.peg.3528,core,D-serine/D-alanine/glycine transporter_4,1969
Cluster 7326,562.7697.peg.5352,unique,"Phage tail fiber, side tail fiber protein Stf_549",5
Cluster 7329,562.7757.peg.3389,unique,Biofilm PGA outer membrane secretin PgaA_26,10
Cluster 7330,562.12959.peg.2792,core,Uncharacterized transporter MdtD of major facilitator superfamily (MFS)_1,1956
Cluster 7331,562.12959.peg.2990,accessory,Flagellar cap protein FliD_1,674
Cluster 7332,562.12959.peg.3013,accessory,"DNA helicase (EC 3.6.4.12), phage-associated_1",327
Cluster 7333,562.12959.peg.537,core,Replicative DNA helicase (DnaB) (EC 3.6.4.12)_2,1970
Cluster 7334,562.12959.peg.1054,core,Tryptophanase (EC 4.1.99.1)_1,1957
Cluster 7340,562.12962.peg.1773,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_3,109
Cluster 7341,562.13502.peg.77,unique,IncF plasmid conjugative transfer pilus assembly protein TraH_2,18
Cluster 7345,562.19632.peg.4620,accessory,"Phage terminase, large subunit_5",268
Cluster 7346,562.19632.peg.4610,unique,Phage DNA transfer protein_8,81
Cluster 7347,562.22443.peg.964,unique,Replicative helicase RepA_1,130
Cluster 7348,562.22499.peg.3377,unique,autotransporter_2,13
Cluster 7351,562.22713.peg.910,core,Uronate isomerase (EC 5.3.1.12)_1,1968
Cluster 7353,562.22776.peg.468,unique,Colicin I receptor_20,5
Cluster 7354,562.22778.peg.4812,unique,VgrG protein_71,6
Cluster 7355,562.22858.peg.1228,unique,Signal transduction histidine-protein kinase AtoS (EC 2.7.13.3)_3,5
Cluster 7362,562.23873.peg.1908,unique,Outer membrane usher protein fimD precursor_16,8
Cluster 7368,562.42857.peg.1165,unique,Cysteinyl-tRNA synthetase (EC 6.1.1.16)_4,10
Cluster 7371,562.7698.peg.2171,accessory,Putative deaminase YahJ_7,1913
Cluster 7372,562.12959.peg.3305,core,Pyruvate kinase (EC 2.7.1.40)_2,1970
Cluster 7373,562.12959.peg.1013,accessory,Adenine permease AdeQ_1,1942
Cluster 7374,562.12959.peg.1615,core,Cell division protein FtsP_1,1970
Cluster 7375,562.12961.peg.3443,core,"DNA-binding transcriptional regulator, MocR family / aminotransferase domain_2",1962
Cluster 7376,562.12961.peg.822,unique,"DNA-binding transcriptional regulator, MocR family / aminotransferase domain_3",5
Cluster 7379,562.13502.peg.5053,accessory,6-phospho-beta-glucosidase (EC 3.2.1.86)_10,1596
Cluster 7380,562.13502.peg.5085,unique,"DNA-binding transcriptional regulator, MocR family / aminotransferase domain_4",74
Cluster 7383,562.22430.peg.4675,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_3,39
Cluster 7384,562.22435.peg.1560,unique,"Phage terminase, large subunit_6",35
Cluster 7385,562.22460.peg.1564,unique,Flagellar cap protein FliD_8,109
Cluster 7386,562.22463.peg.4085,unique,"RTX toxin transporter, determinant D_2",37
Cluster 7387,562.22505.peg.3409,core,"Copper/silver efflux RND transporter, outer membrane protein CusC_4",1956
Cluster 7388,562.22527.peg.4165,unique,Outer membrane porin OmpD_2,35
Cluster 7389,562.22663.peg.3308,unique,Phage DNA transfer protein_23,26
Cluster 7391,562.22956.peg.5155,unique,"Phage tail fiber, side tail fiber protein Stf_185",43
Cluster 7394,562.23388.peg.649,unique,Uncharacterized protein YehQ_17,8
Cluster 7398,562.23608.peg.3367,unique,IncI1 plasmid conjugative transfer pilus-tip adhesin protein PilV_10,19
Cluster 7404,562.42753.peg.448,core,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)_4",1964
Cluster 7407,562.42785.peg.96,core,Proline-specific permease ProY_2,1970
Cluster 7410,562.7573.peg.3396,unique,"PTS system, mannitol-specific IIC component / PTS system, mannitol-specific IIB component (EC 2.7.1.197)_13",7
Cluster 7411,562.7695.peg.3771,unique,beta-glucuronidase (EC 3.2.1.31)_14,23
Cluster 7412,562.12959.peg.1221,core,"Nitrogen regulation protein NR(I), GlnG (=NtrC)_1",1969
Cluster 7413,562.12959.peg.1223,core,Glutamine synthetase type I (EC 6.3.1.2)_1,1970
Cluster 7414,562.16324.peg.2824,unique,Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)_2,18
Cluster 7415,562.22434.peg.1720,unique,Cytosine/purine/uracil/thiamine/allantoin permease family protein_5,50
Cluster 7416,562.22453.peg.1831,accessory,Sulphoquinovose/Na+ symporter_1,826
Cluster 7418,562.22471.peg.3905,unique,Phage protein_127,8
Cluster 7420,562.22511.peg.853,unique,Mobile element protein_233,15
Cluster 7421,562.22514.peg.1775,accessory,"Acetaldehyde dehydrogenase (EC 1.2.1.10) @ Acetaldehyde dehydrogenase (EC 1.2.1.10), ethanolamine utilization cluster_3",1923
Cluster 7423,562.22664.peg.1951,unique,FhuE receptor precursor_8,9
Cluster 7425,562.22666.peg.68,unique,Replicative helicase RepA_4,13
Cluster 7428,562.22752.peg.4042,core,DNA-damage-inducible protein F_3,1965
Cluster 7429,562.22769.peg.3219,unique,Integrase_79,5
Cluster 7432,562.22961.peg.5076,unique,"Phage tail tip, host specificity protein J_58",19
Cluster 7434,562.22997.peg.5162,unique,"Phage terminase, ATPase subunit GpP_21",19
Cluster 7435,562.23032.peg.4110,unique,Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase_3,19
Cluster 7436,562.23034.peg.519,unique,Phage DNA transfer protein_40,12
Cluster 7438,562.23146.peg.3765,accessory,Uncharacterized MFS-type transporter_58,621
Cluster 7439,562.23184.peg.4942,unique,Hemolysin activator protein precursor_8,23
Cluster 7443,562.23540.peg.433,core,Fumarate hydratase class II (EC 4.2.1.2)_1,1952
Cluster 7447,562.23873.peg.3521,accessory,Sucrose-6-phosphate hydrolase (EC 3.2.1.26)_5,636
Cluster 7451,562.42667.peg.5527,unique,"Phage tail fiber, side tail fiber protein Stf_368",22
Cluster 7454,562.42857.peg.425,unique,Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)_10,7
Cluster 7457,562.7567.peg.4243,accessory,Type VI secretion-related protein VasL_39,468
Cluster 7460,562.7785.peg.5242,unique,IncF plasmid conjugative transfer protein TraG_42,10
Cluster 7461,562.12959.peg.4474,core,Outer membrane porin for chitooligosaccharides ChiP_3,1960
Cluster 7462,562.12960.peg.2308,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_1,26
Cluster 7463,562.12960.peg.2077,accessory,Flagellar cap protein FliD_3,1166
Cluster 7464,562.12961.peg.601,unique,Possible GPH family transporter (TC 2.A.2) for arabinosides_2,5
Cluster 7468,562.13502.peg.4474,accessory,62kDa structural protein_1,224
Cluster 7470,562.22445.peg.4257,unique,Cellulose biosynthesis protein BcsG_4,106
Cluster 7474,562.22585.peg.1450,unique,Replicative helicase RepA_3,5
Cluster 7477,562.22829.peg.2049,accessory,Xanthine permease @ Xanthine:proton symporter XanQ_5,1919
Cluster 7478,562.22832.peg.325,core,"N,N'-diacetylchitobiose-specific 6-phospho-beta-glucosidase (EC 3.2.1.86)_3",1959
Cluster 7481,562.22885.peg.1168,unique,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase (EC 2.7.8.31)_8,15
Cluster 7482,562.22993.peg.4015,unique,Outer membrane vitamin B12 receptor BtuB_8,8
Cluster 7484,562.23101.peg.1859,accessory,"PTS system, galactitol-specific IIC component_14",1607
Cluster 7489,562.23781.peg.1941,unique,Outer membrane usher protein YraJ_12,5
Cluster 7492,562.45850.peg.1668,unique,Phosphomannomutase (EC 5.4.2.8)_23,110
Cluster 7493,562.7581.peg.3868,unique,Phage tailspike_77,9
Cluster 7495,562.17620.peg.5019,unique,Arginine/ornithine antiporter ArcD_3,108
Cluster 7496,562.22428.peg.4181,accessory,Na+/H+ antiporter NhaC_1,225
Cluster 7497,562.22428.peg.3859,accessory,Arginine/ornithine antiporter ArcD_5,797
Cluster 7498,562.22450.peg.261,unique,"Phage terminase, large subunit_7",17
Cluster 7500,562.22464.peg.901,unique,Uncharacterized protein YehM_3,37
Cluster 7501,562.22494.peg.4029,unique,Phage tail fiber protein GpH_27,8
Cluster 7502,562.22520.peg.4788,unique,"Tricarballylate dehydrogenase, TcuA_1",14
Cluster 7506,562.22746.peg.4865,unique,"Phage tail fiber, side tail fiber protein Stf_133",13
Cluster 7507,562.22809.peg.4653,unique,Uncharacterized outer membrane protein YpjA_10,13
Cluster 7509,562.22929.peg.1572,unique,"Type I restriction-modification system, specificity subunit S_99",6
Cluster 7510,562.22979.peg.4733,unique,Mobile element protein_517,8
Cluster 7514,562.23135.peg.4956,unique,Protein RhsD_65,5
Cluster 7517,562.23448.peg.4206,accessory,Xyloside transporter XynT_5,836
Cluster 7521,562.31449.peg.70,unique,Aspartate ammonia-lyase (EC 4.3.1.1)_7,39
Cluster 7523,562.42857.peg.2171,core,tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE_1,1970
Cluster 7524,562.42857.peg.2073,core,gamma-aminobutyrate (GABA) permease_9,1954
Cluster 7531,562.7681.peg.3874,accessory,Phage tail sheath monomer GpFI_68,551
Cluster 7534,562.12959.peg.1318,core,Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)_1,1969
Cluster 7535,562.12959.peg.5077,core,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)_1,1969
Cluster 7536,562.12959.peg.4101,core,Asparaginyl-tRNA synthetase (EC 6.1.1.22)_1,1970
Cluster 7538,562.12961.peg.453,core,"PTS system, ascorbate-specific IIC component_1",1950
Cluster 7539,562.12961.peg.126,unique,Sensory protein kinase PcoS (EC 2.7.13.3)_1,82
Cluster 7541,562.22437.peg.5000,unique,"DNA helicase (EC 3.6.4.12), phage-associated_4",167
Cluster 7543,562.22449.peg.3338,unique,Uncharacterized MFS-type transporter_47,45
Cluster 7544,562.22452.peg.182,unique,2-oxoglutarate/malate translocator_1,46
Cluster 7547,562.22640.peg.4603,unique,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase (EC 2.7.8.31)_6,6
Cluster 7548,562.22651.peg.4772,unique,"Bacteriocin/lantibiotic efflux ABC transporter, permease/ATP-binding protein_9",7
Cluster 7550,562.22923.peg.3530,accessory,"Efflux transport system, outer membrane factor (OMF) lipoprotein_11",1396
Cluster 7559,562.23915.peg.1046,unique,Phage tail fiber protein GpH_192,5
Cluster 7561,562.28810.peg.23,unique,Prophage CP4-6 integrase_3,12
Cluster 7568,562.7761.peg.2212,unique,D-galactarate dehydratase (EC 4.2.1.42)_18,5
Cluster 7569,562.12959.peg.3558,core,Conserved protein YcjX with nucleoside triphosphate hydrolase domain_1,1969
Cluster 7570,562.12959.peg.843,core,Cytochrome c551 peroxidase (EC 1.11.1.5)_1,1955
Cluster 7571,562.12959.peg.1987,accessory,D-phenylhydantoinase_1,1922
Cluster 7579,562.13502.peg.4284,core,Sensor protein of zinc sigma-54-dependent two-component system_2,1965
Cluster 7581,562.22434.peg.1716,unique,RtcB-like protein_1,99
Cluster 7582,562.22435.peg.283,unique,5-methylcytosine-specific restriction enzyme McrB_1,147
Cluster 7584,562.22439.peg.926,accessory,ATP-binding protein_2,225
Cluster 7585,562.22453.peg.4934,unique,Mobile element protein_169,18
Cluster 7589,562.22479.peg.1343,unique,no significant similarities_3,64
Cluster 7590,562.22479.peg.1341,unique,"DNA helicase (EC 3.6.4.12), phage-associated_7",64
Cluster 7593,562.22547.peg.730,unique,"Type I restriction-modification system, specificity subunit S_47",14
Cluster 7594,562.22567.peg.765,core,Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)_4,1958
Cluster 7596,562.22701.peg.1344,unique,"Uncharacterized protein YaiT, interrupted by IS3E_5",5
Cluster 7598,562.22719.peg.4140,unique,Uncharacterized MFS-type transporter_57,10
Cluster 7599,562.22730.peg.4324,unique,Per-activated serine protease autotransporter enterotoxin EspC_19,5
Cluster 7614,562.42647.peg.735,unique,Phage tail fiber protein_53,7
Cluster 7619,562.12959.peg.1908,core,Galactose-proton symport_1,1968
Cluster 7620,562.12959.peg.2825,accessory,Colanic acid biosynthesis protein WcaM_1,1817
Cluster 7621,562.12959.peg.2821,accessory,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase (EC 2.7.8.31)_1,1829
Cluster 7625,562.12961.peg.1193,core,Proposed xyloside/Na+ symporter YicJ_1,1965
Cluster 7627,562.17621.peg.5086,unique,Putative glycoporin_1,45
Cluster 7629,562.22434.peg.4249,unique,Conjugative transfer protein TrbI_1,14
Cluster 7630,562.22435.peg.281,unique,Type-1 restriction enzyme EcoKI specificity protein_3,108
Cluster 7634,562.22531.peg.4633,unique,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase (EC 2.7.8.31)_5,16
Cluster 7635,562.22614.peg.4289,unique,Conjugative transfer protein TrbL_2,40
Cluster 7638,562.22640.peg.4951,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_16,5
Cluster 7645,562.23105.peg.2341,accessory,Type VI secretion-related protein VasL_26,1183
